timestamp,lat,lon,altitude_agl,vertical_velocity,y_acc,gyr_y,pyro_state,sats,flight_state,battery_voltage
213506,329972340,-1069751010,1460.73291015625,-18.682796478271484,-0.22854399681091309,-0.0,8,0,5,9.1956
213546,329972102,-1069751084,1460.1134033203125,-30.479734420776367,-0.22854399681091309,-0.0,8,0,5,9.1956
213586,329972328,-1069750951,1459.339111328125,-33.42817306518555,-0.2285429984331131,-0.0,8,0,5,9.1888
213646,329972351,-1069750880,1458.564697265625,-20.58930015563965,-0.2285429984331131,-0.0,8,0,5,9.1956
213686,329972617,-1069751291,1457.79052734375,-33.030601501464844,-0.2285420000553131,-0.0,8,0,5,9.1744
213746,329971862,-1069751115,1456.861328125,-40.90018081665039,-0.22854100167751312,-0.0,8,0,5,9.1956
213786,329972553,-1069750905,1456.241943359375,-31.36647605895996,-0.22854100167751312,-0.0,8,0,5,9.2168
213826,329972653,-1069750713,1455.6226806640625,-30.97536277770996,-0.22854000329971313,-0.0,8,0,5,9.2096
213886,329972238,-1069750546,1454.693603515625,-32.950538635253906,-0.22853900492191315,-0.0,8,0,5,9.2096
213926,329971901,-1069750856,1454.2291259765625,-18.655912399291992,-0.22853900492191315,-0.0,8,0,5,9.1956
213986,329971985,-1069750729,1453.1453857421875,-33.337528228759766,-0.22853800654411316,-0.0,8,0,5,9.1956
214026,329972610,-1069750920,1452.680908203125,-18.6713924407959,-0.22853800654411316,-0.0,8,0,5,9.1956
214066,329972484,-1069750954,1451.9068603515625,-32.944122314453125,-0.22853699326515198,-0.0,8,0,5,9.2096
214126,329972438,-1069751060,1450.97802734375,-40.88113021850586,-0.228535994887352,-0.0,8,0,5,9.2096
214166,329972133,-1069750667,1450.3587646484375,-31.36376190185547,-0.228535994887352,-0.0,8,0,5,9.2096
214226,329972411,-1069750614,1449.5074462890625,-36.65637969970703,-0.228534996509552,-0.0,8,0,5,9.1956
214266,329972078,-1069750977,1448.9656982421875,-20.04047393798828,-0.228534996509552,-0.0,8,0,5,9.1888
214306,329972150,-1069750685,1448.3465576171875,-20.614118576049805,-0.22853399813175201,-0.0,8,0,5,9.1956
214366,329972481,-1069751394,1447.2630615234375,-43.25709915161133,-0.22853299975395203,-0.0,8,0,5,9.1888
214406,329972421,-1069750736,1446.64404296875,-31.439268112182617,-0.22853299975395203,-0.0,8,0,5,9.1956
